age,income,web_visits,ad_clicks,time_on_site,converted
56,42.95226467851793,11,4,8.199579493630942,1
69,69.50731221384021,13,4,7.243761045976441,1
46,72.64908433284602,20,0,6.782121090601918,1
32,50.5164364979207,6,2,5.538665564685872,0
60,44.5645608521425,9,5,3.7443042197120677,0
25,92.19041331551946,8,4,3.96926867729675,1
38,64.54991751464108,8,2,5.470433969311932,0
56,72.71935501423476,4,2,5.877059706255684,0
36,43.558479763441454,12,3,3.062230423705394,0
40,35.614310669556126,7,2,7.492258978894874,0
28,48.61100451015779,5,3,7.8150420670192755,1
28,57.51957225220006,12,3,6.587833221926864,1
41,38.715599863653026,8,2,8.00707887006305,0
53,59.80310382699234,11,4,6.276504006021692,1
57,26.229896238629998,8,0,5.548303768720503,0
41,37.59905155060255,16,3,5.1024308953434465,1
20,73.4182249655375,8,2,4.366117615166558,1
39,72.07581040555789,10,1,4.989602794678322,0
19,52.162464692262674,8,6,2.918279580136398,1
41,39.64471381846094,11,3,4.8327973710154595,0
61,39.45192896947978,5,2,2.663304012149786,0
47,52.53463508117372,9,2,3.3983579869357974,0
55,72.89036983290583,15,1,7.457103207661418,1
19,78.5649138268865,10,2,7.364337532165344,1
38,50.06936529036062,10,3,3.325534976903298,0
50,36.930151480304325,12,3,6.740208583392061,1
29,65.35687275732667,8,4,3.8232473797393816,1
39,43.52930058748301,10,2,3.6722677520495592,0
61,49.63494722277595,12,1,7.784611725964194,0
42,86.50552180874075,7,0,2.811230251721816,0
66,76.54230857131536,12,4,1.4253874838169338,0
44,63.159486245029036,9,3,3.6689897033688856,0
59,34.56161997774554,10,2,3.796128697621376,0
45,64.22793134941318,7,1,4.253807558189944,0
33,81.25314581575053,12,2,1.5585725877904926,0
32,52.487326684689286,11,4,5.702532084028629,1
64,87.0222817997343,19,1,8.79284267392829,1
68,85.85490579036414,9,6,5.603224950804114,1
61,93.27465664286947,9,2,4.557487088192688,0
69,66.10486253062706,11,6,6.33631502173604,1
20,71.74783399612025,11,5,5.149847284439019,1
54,88.28374576662179,9,6,5.114194825811578,1
68,68.94787874137951,10,2,4.835372090289323,0
24,49.97531784419574,10,5,5.435123496643777,1
38,51.02914326944277,12,4,4.178398563236902,1
26,64.77109907547478,9,3,1.7434544048296954,0
56,34.188771561075626,11,1,8.69749339881875,0
35,57.134821692716145,8,1,6.059962129241503,0
21,81.93094236460507,6,2,3.596868764675037,0
42,16.174922976694376,12,2,5.702306145266638,0
31,90.6896420358903,14,3,2.7400442942831895,1
67,82.4474843740632,9,4,5.7608519608373205,1
26,50.804707683390475,9,2,6.4850501776936325,1
43,70.86781655743619,15,1,7.0658822358790765,1
19,60.06295453812653,14,3,6.137594986850866,1
37,84.59980736877367,7,1,4.620101344608128,0
45,79.65366285539882,9,5,7.0484531134545545,1
64,31.998585536339817,9,2,3.895979440440259,0
24,71.74524826928354,4,2,5.596503164127757,0
61,55.88744292713505,13,2,3.5409855475850653,0
25,61.656651410361995,12,1,5.459545105639929,1
64,45.436561980603685,6,4,7.988298866134224,0
52,94.96274138241671,9,3,6.545705749062564,1
31,80.80123639805151,9,4,6.8441189389617225,1
34,45.20457672054066,8,7,7.227395641641575,1
53,33.30778786179535,7,2,4.859725476961515,0
67,52.28654738044304,6,6,3.2539511407504267,0
57,68.69005292182612,16,3,1.2928154245371588,0
21,64.80411687892446,16,2,2.831937030330591,1
19,85.06265649536488,8,1,5.234012666356938,1
23,75.79839444361704,12,5,1.0,1
59,79.39138051505813,16,2,5.354089142199719,1
21,66.53710801220875,12,4,5.987807855672563,1
46,32.2140253957802,6,4,1.8716377265692965,0
35,56.08602937706197,10,4,6.75846730634447,1
43,81.20179479817331,7,2,4.157155842718884,0
