engine_size,horsepower,mileage,age,brand_score,price,expensive
2.87,239.0,21.3,2,5.98,53554.98,0
5.75,466.0,28.3,13,5.67,111703.29,1
4.66,345.0,14.0,10,6.56,82128.53,1
3.99,318.0,27.9,12,6.3,73510.14,1
1.78,133.0,18.1,12,8.22,32052.11,0
1.78,154.0,21.1,14,6.98,31138.95,0
1.29,120.0,29.1,19,7.96,17749.78,0
5.33,488.0,45.5,0,1.01,101887.4,1
4.01,295.0,33.1,15,9.45,75092.71,1
4.54,365.0,10.7,2,3.66,85254.95,1
1.1,66.0,15.7,11,4.28,21244.98,0
5.85,555.0,12.5,13,7.88,133595.63,1
5.16,360.0,17.5,9,9.7,78053.19,1
2.06,160.0,23.7,12,7.7,25211.88,0
1.91,126.0,17.0,8,2.01,30014.86,0
1.92,167.0,28.5,13,6.19,28497.63,0
2.52,206.0,43.0,17,6.48,35913.68,0
3.62,270.0,43.0,16,1.43,55783.51,0
3.16,257.0,23.6,13,2.68,42889.44,0
2.46,164.0,23.1,19,9.93,37786.21,0
4.06,370.0,39.8,11,1.02,70768.15,1
1.7,120.0,26.6,11,6.36,18753.38,0
2.46,208.0,48.8,10,5.22,33011.11,0
2.83,272.0,27.8,2,2.77,62969.06,1
3.28,202.0,19.7,4,3.08,51132.81,0
4.93,372.0,10.4,6,4.93,91496.14,1
2.0,131.0,48.2,11,3.34,15208.1,0
3.57,344.0,14.7,2,9.54,81528.39,1
3.96,295.0,17.0,15,6.2,78080.82,1
1.23,84.0,11.5,10,9.06,23641.16,0
4.04,352.0,28.6,11,1.8,72801.05,1
1.85,151.0,26.3,6,4.22,27779.01,0
1.33,123.0,42.6,11,3.18,19361.88,0
5.74,517.0,32.2,1,4.06,111203.87,1
5.83,577.0,33.3,0,8.85,135913.36,1
5.04,321.0,41.6,0,4.64,84802.5,1
2.52,159.0,33.3,3,2.15,31609.04,0
1.49,143.0,32.6,9,3.42,26997.24,0
4.42,434.0,47.1,13,6.37,96599.73,1
3.2,244.0,27.5,2,1.57,45866.79,0
1.61,126.0,35.4,14,4.45,21591.38,0
3.48,260.0,25.4,3,9.84,67207.59,1
1.17,107.0,36.0,16,7.85,21190.03,0
5.55,504.0,10.4,13,8.6,116594.27,1
2.29,158.0,39.1,17,4.61,29125.02,0
4.31,325.0,41.3,4,1.41,69813.44,1
2.56,175.0,45.1,13,8.52,32841.89,0
3.6,223.0,30.0,7,4.77,38474.13,0
