years_experience,education_level,age,performance_score,city_tier,salary,high_earner
14.0,4,32,2.02,2,75385.01,0
22.4,5,50,6.3,1,134795.74,1
26.5,1,28,9.7,1,147026.08,1
8.5,4,43,8.49,2,89133.56,0
2.1,4,58,2.32,1,46836.61,0
1.6,1,48,2.64,3,20000.0,0
20.1,5,59,4.88,1,121726.38,1
7.2,4,29,4.03,2,55808.51,0
12.4,3,23,0.21,3,65482.21,0
19.1,1,49,7.76,2,105093.94,1
11.9,1,48,7.66,2,85832.96,0
24.7,4,24,4.17,1,147829.48,1
4.1,4,43,2.93,1,53484.94,0
12.9,1,57,3.99,1,78867.17,0
0.7,4,40,5.48,3,53989.11,0
16.1,2,48,2.07,3,94327.52,1
14.9,3,30,0.82,2,65682.31,0
25.2,1,29,0.4,1,131167.3,1
10.2,1,31,1.86,2,56782.99,0
15.6,2,25,7.15,1,79400.82,0
19.7,4,53,8.6,3,129979.23,1
0.8,4,57,2.8,3,58327.72,0
25.6,5,24,0.7,3,128514.81,1
0.9,2,56,4.07,2,20000.0,0
29.6,3,32,8.63,2,164699.5,1
0.2,2,24,3.21,2,26450.47,0
26.5,4,54,7.86,3,157312.42,1
16.1,1,24,5.91,1,62050.29,0
26.8,4,48,7.42,3,143137.57,1
15.0,4,49,9.6,2,104636.13,1
17.9,4,33,6.65,3,104159.24,1
24.3,4,53,9.59,3,161132.73,1
6.2,2,24,2.56,3,40941.09,0
18.2,2,48,2.97,2,94806.11,1
15.5,5,48,0.72,1,104931.38,1
26.8,1,34,2.69,3,113742.89,1
0.3,5,50,6.22,2,51704.41,0
24.0,3,41,5.17,2,127618.01,1
0.8,1,20,5.17,3,20000.0,0
14.5,4,25,4.82,3,93903.78,1
29.1,5,30,4.28,2,173988.99,1
16.2,4,48,6.38,2,107268.22,1
13.5,1,48,9.63,1,76845.88,0
15.3,1,58,6.88,2,88113.53,0
21.8,5,51,6.83,2,140521.03,1
16.0,5,50,1.08,2,96630.01,1
0.0,2,46,3.28,3,23787.13,0
17.8,3,23,5.54,3,99589.55,1
19.6,4,26,3.27,2,108883.73,1
19.4,4,20,5.59,2,112583.48,1
15.3,5,50,2.37,2,104295.02,1
17.5,1,22,4.24,2,87208.59,0
24.6,3,47,3.76,2,131825.2,1
16.2,2,24,0.33,3,94625.04,1
27.6,2,34,4.0,2,140964.54,1
17.9,3,42,4.57,2,110438.48,1
19.7,2,29,7.13,1,111993.82,1
0.7,3,54,6.76,2,53322.01,0
21.0,3,42,5.04,3,123919.15,1
4.2,1,50,9.7,2,40082.33,0
28.5,4,59,2.34,3,140646.7,1
11.0,4,45,1.79,3,52573.39,0
7.7,1,41,4.65,3,48146.07,0
29.7,4,31,9.67,3,179154.88,1
28.2,2,39,7.43,3,152236.91,1
