area_sqft,bedrooms,bathrooms,age,distance_to_city,price,luxury
2185.4,2,3,41,35.2,182568.44,0
4778.2,1,1,0,12.6,277744.53,1
3794.0,1,2,49,31.6,94351.26,0
3194.0,1,1,3,7.5,222612.47,1
1202.1,4,3,46,32.9,83288.02,0
1202.0,1,2,9,12.7,56197.07,0
761.4,2,1,18,2.3,52732.12,0
4397.8,3,1,41,35.0,290321.39,1
3205.0,4,1,20,10.0,261840.94,1
3686.3,4,1,46,32.5,200946.25,1
592.6,3,3,30,30.1,62054.3,0
4864.6,4,2,48,37.3,349057.16,1
4246.0,3,3,38,2.5,271399.05,1
1455.5,4,2,46,5.1,91224.32,0
1318.2,3,3,1,18.2,207628.44,1
1325.3,3,1,41,26.6,177487.66,0
1869.1,2,3,36,31.0,205814.98,1
2861.4,3,3,23,31.4,158449.56,0
2443.8,3,2,9,28.7,217760.73,1
1810.5,5,1,47,21.0,133371.89,0
3253.3,4,2,36,12.0,265262.37,1
1127.7,4,2,23,36.3,38691.45,0
1814.7,1,1,10,9.2,89627.98,0
2148.6,3,2,25,3.5,273661.23,1
2552.3,3,2,15,26.2,178571.3,0
4033.3,4,2,37,24.4,221900.19,1
1398.5,1,3,25,31.6,57779.55,0
2814.1,2,2,27,38.7,107970.25,0
3165.9,3,3,33,25.8,302317.57,1
709.0,5,3,13,35.7,156596.34,0
3234.0,4,3,19,38.5,276857.64,1
1267.4,1,1,28,31.9,30000.0,0
792.7,3,2,17,9.2,30000.0,0
4770.0,1,1,9,30.8,263693.8,1
4845.3,5,3,5,29.4,319336.08,1
4137.8,1,3,28,32.5,204889.7,1
1870.8,4,1,7,25.2,126943.27,0
939.5,2,1,39,23.1,30000.0,0
3579.0,2,1,27,5.4,216469.34,1
2480.7,2,3,6,5.2,257034.0,1
1049.2,1,3,1,39.0,40984.07,0
2728.3,3,1,14,8.7,129399.9,0
654.7,3,2,47,4.2,93781.77,0
4591.9,3,1,36,19.1,277820.51,1
1664.5,5,2,33,36.5,168118.05,0
