advertising_spend,product_rating,category_score,discount,season_index,monthly_sales,bestseller
93116.5,3.46,1.97,40.73,0.71,94811.65,1
58668.78,4.16,8.48,32.76,0.2,64961.43,1
4990.04,4.7,2.95,29.39,0.48,16709.75,0
14872.58,2.36,1.56,45.35,0.84,25081.85,0
38598.96,1.43,0.96,46.32,0.2,27843.91,0
93957.37,2.78,5.69,45.84,0.74,72928.28,1
24053.18,1.42,1.35,39.9,0.08,1000.0,0
48631.3,3.53,0.52,49.51,0.36,25865.21,0
54652.72,3.21,8.91,4.16,0.71,81367.49,1
68663.81,2.66,6.67,32.16,0.08,77917.99,1
6571.65,2.66,4.7,33.28,0.77,33798.19,0
5560.36,4.29,7.47,25.93,0.45,32641.16,0
8625.37,3.58,5.68,44.54,0.7,28658.03,0
3877.97,4.23,2.79,48.12,0.62,13857.51,0
21568.35,2.22,6.45,3.2,0.71,58929.34,0
4469.04,3.04,8.2,30.95,0.58,30051.35,0
89369.15,1.2,7.16,32.99,0.96,84712.07,1
73584.52,2.23,6.18,25.99,0.13,71106.46,1
68508.54,4.65,3.13,49.98,0.12,38969.96,0
32003.79,4.23,0.56,19.01,0.83,68599.96,1
49259.52,3.19,4.34,13.11,0.66,55114.55,0
46172.47,3.49,5.25,14.61,0.79,94902.32,1
33638.11,4.13,8.68,39.03,0.73,28766.47,0
71852.65,4.63,7.59,25.81,0.42,122601.88,1
41062.75,1.04,2.47,33.48,0.9,27787.17,0
64942.49,4.54,5.85,27.42,0.87,62448.02,0
11901.39,3.81,8.61,22.01,0.29,19204.33,0
62102.14,1.06,0.57,37.69,0.26,30460.41,0
56697.72,3.49,7.55,5.42,0.42,99494.86,1
56212.09,3.66,0.69,44.32,0.42,63838.42,1
22013.42,1.36,7.84,48.17,0.22,36188.67,0
92271.62,2.14,0.86,26.3,0.21,72076.78,1
61351.73,4.5,0.68,23.82,0.74,62876.49,1
9984.04,4.77,7.84,20.35,0.77,34725.37,0
21204.04,1.8,6.96,44.65,0.95,21889.73,0
99579.75,4.71,6.14,31.47,0.52,114483.79,1
99499.84,4.83,6.75,2.64,0.56,133401.69,1
30299.61,2.67,4.69,19.39,0.87,67604.67,1
60170.54,3.48,4.89,12.23,0.99,91166.08,1
47313.57,4.99,5.07,47.95,0.11,80898.47,1
23990.92,2.87,5.7,30.69,0.77,57398.76,0
49591.62,4.79,7.19,7.05,0.15,72171.94,1
19975.77,3.63,2.4,39.88,0.69,57144.89,0
54323.74,4.78,9.55,5.41,0.7,141959.93,1
57232.31,2.45,4.99,13.8,0.17,55958.3,0
47955.89,4.74,7.56,35.76,0.78,114558.96,1
73158.86,2.64,7.96,19.21,0.06,90658.01,1
51855.35,1.26,4.76,20.62,0.03,67518.0,1
68258.18,4.02,6.19,13.8,0.77,104217.87,1
4976.15,3.14,3.21,39.01,0.75,32293.75,0
19305.74,3.02,0.04,29.52,0.47,44566.24,0
5106.61,2.64,6.29,5.65,0.55,62216.76,0
99636.0,1.7,0.87,8.62,0.37,94635.0,1
48518.71,2.24,5.74,22.12,0.64,71426.49,1
40151.5,3.17,6.83,18.57,0.58,34888.14,0
80246.05,2.38,7.19,17.06,0.75,53999.06,0
27721.15,1.39,3.2,18.26,0.29,54543.65,0
91710.44,4.48,5.44,48.46,0.55,110413.21,1
82050.34,2.83,1.36,4.47,0.37,89010.09,1
49169.78,2.5,5.76,36.34,0.5,50590.02,0
72911.61,3.57,0.99,20.94,0.66,46902.17,0
45963.58,3.94,3.09,45.51,0.01,59067.59,0
27535.18,2.1,4.76,12.71,0.59,42609.93,0
52358.16,4.61,9.38,34.72,0.8,69390.29,1
19893.5,1.66,4.94,30.34,0.3,30755.04,0
37377.69,3.64,9.75,17.52,0.49,52934.01,0
77983.17,3.26,6.59,29.98,0.58,102342.31,1
9176.11,3.53,6.92,45.87,0.94,1000.0,0
47434.18,3.06,7.34,22.49,0.66,88938.52,1
2826.33,2.04,8.99,41.87,0.55,46023.07,0
19079.74,3.56,3.22,23.57,0.81,33801.15,0
3165.21,4.56,1.16,33.94,0.82,1000.0,0
3198.02,1.16,4.34,22.84,0.1,12722.17,0
31193.41,3.43,4.11,41.7,0.37,102400.98,1
71904.87,4.87,2.0,2.63,0.4,59182.19,0
27008.33,4.61,8.63,43.54,0.6,53786.39,0
7563.97,1.49,3.15,32.26,0.51,10921.0,0
35989.55,3.39,3.99,40.36,0.53,45787.66,0
29945.22,4.81,8.59,43.99,0.09,57896.3,0
65934.88,3.14,8.08,13.31,0.81,107298.12,1
16119.96,1.07,0.91,14.08,0.07,1000.0,0
14465.2,3.86,5.43,39.34,0.04,42991.87,0
10301.75,4.31,9.82,38.43,0.24,6122.53,0
