study_hours,attendance_rate,assignments_completed,participation_score,parent_education,final_score,top_student
49.8,68.7,8,6.5,2,4150.51,1
34.7,91.2,17,8.1,3,6842.02,1
29.1,90.1,2,2.9,5,3010.42,0
23.6,72.2,14,4.1,2,4842.52,1
22.7,63.1,18,4.7,3,4874.05,1
2.5,70.0,12,4.2,2,2491.69,0
31.4,98.7,14,0.2,2,807.5,0
19.8,97.3,5,6.8,4,4936.71,1
41.4,92.1,12,9.8,4,7843.09,1
24.8,64.0,12,8.2,5,6711.67,1
25.6,59.1,19,7.5,1,6371.85,1
13.4,76.2,13,2.5,3,4473.33,1
43.7,73.9,14,6.7,3,5506.03,1
13.4,55.9,11,7.0,2,5299.43,1
46.9,88.1,18,5.4,3,4708.96,1
29.9,63.8,3,2.7,4,4483.83,1
42.9,78.8,11,6.2,4,3546.76,0
16.2,72.6,6,9.9,1,5979.25,1
22.7,82.5,14,8.4,1,4465.33,1
3.4,81.0,10,2.5,2,1953.17,0
6.4,56.8,14,9.2,5,5154.53,1
3.2,66.5,3,5.6,2,4610.79,1
17.0,73.4,14,0.9,2,0.0,0
8.8,71.9,12,9.7,5,7118.41,1
23.8,51.7,2,2.5,1,960.86,0
14.6,59.2,9,5.1,4,3647.03,0
25.1,72.8,5,5.2,1,3274.54,0
42.1,63.3,19,4.5,4,3196.21,0
39.1,52.4,3,7.3,3,5511.96,1
27.7,83.6,16,0.9,5,2988.16,0
14.9,92.4,4,1.9,5,2377.37,0
44.8,50.4,0,5.9,1,2783.11,0
2.3,79.9,4,8.8,4,5602.93,1
12.8,86.9,10,3.7,4,4149.58,1
20.2,75.1,13,5.3,2,3385.84,0
35.7,69.9,19,6.0,5,4559.29,1
34.3,95.8,9,5.5,2,5990.68,1
15.3,84.8,19,7.1,3,6740.92,1
38.6,67.5,5,1.7,1,1741.45,0
39.4,63.8,13,7.0,2,4158.97,1
35.1,93.1,18,5.7,3,6587.84,1
42.1,99.4,13,5.1,2,3479.73,0
18.8,72.5,2,1.7,4,1562.12,0
44.0,89.1,4,0.3,5,2787.39,0
9.6,58.5,1,6.5,5,3643.66,0
16.9,85.6,19,0.6,3,3061.63,0
22.1,80.7,13,7.0,3,5146.05,1
0.2,94.2,18,7.4,2,4812.73,1
43.3,56.8,2,4.5,5,1999.3,0
48.5,64.6,2,3.1,5,3631.68,0
10.4,89.8,12,3.4,1,4057.3,1
14.3,77.0,12,4.1,3,3820.88,0
35.0,59.3,6,6.4,1,3747.71,0
49.7,67.6,10,1.3,1,3068.59,0
