AdvertisingBudget,StoreSize,NumEmployees,Sales
25795,2167,15,78355
10860,1952,20,71429
48158,2827,20,112804
54732,2295,5,98570
21284,1962,13,74495
16265,2322,10,67741
26850,1191,20,60669
47194,2498,7,92150
31962,1218,24,77480
57191,1178,8,77775
54131,2596,23,121375
26023,2888,7,94393
51090,2982,23,124666
11685,1000,24,49303
10769,2663,11,78162
12433,1579,24,65783
15311,1302,13,55651
47819,2551,5,99606
49188,1604,12,78635
27568,2946,11,98884
29769,2695,22,104240
38693,2370,12,87334
16396,1760,5,54839
37480,2285,15,91970
51434,1828,22,99826
35658,1302,14,72925
28942,1197,7,61280
28431,1670,11,67181
12747,1192,20,60692
10189,1006,20,53212
29118,1838,24,85215
45773,2681,21,112119
11899,2284,6,55436
11267,1663,5,39769
41551,1363,20,81325
21394,1820,16,65235
13556,895,9,37546
13890,2723,9,71898
51606,2557,13,96482
40740,2478,13,96938
24502,1340,7,51328
31777,1859,23,86002
20627,1983,20,71695
18792,2522,20,83799
53323,2619,7,109840
53021,2397,24,114999
18433,1595,5,54394
53001,1851,24,97066
21016,2443,15,92617
33897,2163,21,100594
12612,2781,12,84526
33483,2154,8,82010
58555,2463,10,106179
27159,2329,12,82517
54974,2838,24,129979
50994,2296,7,90572
24541,2208,20,81570
45920,2200,7,79390
36531,2106,22,89485
11585,1772,18,71014
13943,2568,22,82843
33939,2082,6,73201
29457,1509,7,62334
11021,2279,20,66335
21653,2234,13,79729
53573,1448,8,86150
23417,1117,5,47960
50757,2057,8,98002
19692,1483,5,43779
55758,1463,18,101084
16873,2798,20,85804
15675,2431,24,78760
10161,2295,12,64841
47065,1936,11,96732
36557,2653,7,89208
43763,2320,21,97747
42606,1363,5,59870
21534,2091,20,78521
39127,2436,16,86046
50397,1498,23,86776
35851,2960,18,113596
11016,801,10,41449
34253,1441,10,65580
34276,2389,17,89872
33247,1654,23,82970
34300,2559,12,102359
18529,2461,6,72068
27262,1953,5,70418
19268,1876,19,70922
31271,2507,5,80461
22185,2495,9,79883
31243,2533,20,96284
49099,2239,23,97572
18571,1635,8,61959
49976,1002,7,63945
48044,922,21,88431
59216,1200,21,95807
58984,1566,16,94862
50774,1093,18,82675
12568,997,10,39451
