Area_sqft,Price_USD
1660,317096
2094,390281
1930,383015
1895,367513
2438,437408
2969,532511
1266,255059
2038,385416
1130,208388
2282,420229
2935,536047
930,182126
2485,450905
1569,289718
3191,567504
2315,451405
3233,601236
2015,395705
1755,349136
3124,567175
1984,385654
1259,255749
821,154412
3100,575702
1547,304476
1274,255765
1882,363012
3358,605040
2847,524522
1775,329291
2606,486437
989,194924
1362,269131
2699,520509
2067,379595
2328,456586
1446,300603
2868,513495
3014,538455
2097,378959
3235,580286
1400,276527
3163,601957
2861,542864
1041,205808
2841,518878
3412,644603
2163,391352
2939,550182
2190,431459
