Study_Hours,Marks
3.75,72.44
9.51,98.41
7.32,86.02
5.99,78.44
1.56,50.41
1.56,54.2
0.58,50.6
8.66,98.59
6.01,81.77
7.08,76.58
0.21,52.67
9.7,96.57
8.32,88.22
2.12,63.66
1.82,64.25
1.83,63.81
3.04,61.0
5.25,74.7
4.32,73.26
2.91,69.43
6.12,78.2
1.39,56.02
2.92,59.07
3.66,62.32
4.56,76.86
7.85,96.03
2.0,59.64
5.14,80.72
5.92,81.41
0.46,49.07
6.08,82.21
1.71,66.24
0.65,53.07
9.49,105.27
9.66,85.2
8.08,94.51
3.05,65.69
0.98,53.4
6.84,84.66
4.4,62.06
1.22,55.0
4.95,76.54
0.34,59.09
9.09,92.86
2.59,58.91
6.63,80.64
3.12,70.18
5.2,77.64
5.47,74.7
1.85,61.82
